"國語漢字","台語拼音","國語注釋"
"食未","ziah1-bhe2","吃了嗎？"
"食飽抑未","ziah3-ba4-iah1-bhe2","吃飯了嗎？"
"猶未娶姥","iau1-bhe3-cua3-bho4","還沒娶太太。"
"偷走","tau2-zau4",
"走江湖","zau1-gang2-o5",
"走走跳跳","zau1-zau1-tiau4-tiau3",
"手下留情","ciu1-ha2-liu2-zing5",
"留嘴鬚","lau2-cui4-ciu1",
"因端","in2-duann1","等語例不多，一般通用文言音（duan1）。"
"四正","si4-ziann3",
"起頭","ki1-tau5",
"月台","ghueh3-dai5","，火車站裡供旅客上下車的地方。"
"驛長","iah3-diunn4",
"到坎站","gau4-kam1-zam2","，即到達特定的段落。"
"徛票","kia3-pior3",
"站土腳","zam4-to2-ka1","用力踐踏地面。"
"站腳步","zam4-ka2-bo2","踢正步。"
"錢穀","zen2-gok2","貨幣和穀物，清代主管財政的幕僚。一般均通用白話音（zinn5）"
"做錢奴才","zor4-zinn2-lo2-zai5",
"主食","zu1-sit1",
"無窮盡","bhu2-giong2-zin2",
"射出去外口","zorh3-cut1-ki4-ghua3-kau4","擲投到外邊。惟一般通用的是白話音（sia2）。"
"凊凊彩彩","cin4-cin4-cai1-cai4",
"草埔","cau1-bo1",
"草地人","cau1-de3-lang5","鄉下人。"
"搓田草","sor2-can2-cau4","用手去除田裡的草。"
"沖冷水","ciang2-ling1-zui4",
"氣勃勃","ki4-but1-but2","氣沖沖，發怒的樣子。"
"令媛","ling3-uan2",
"家父","ga2-hu2",
"互人拍甲一令一令","ho3-lang2-pah1-gah1-zit3-ling3-zit3-ling2","被打得一條條的傷痕。"
"無限量","bhor2-han3-liong2",
"無限制","bhor2-han3-ze3",
"毋限定","m3-an3-diann2","不僅是。"
"阿Ｑ正傳","a2-kiu1-zing4-duan2","描寫得最透徹。"
"阿片煙","a2-len4-en1",
"雙親","song2-cin1","等若干語例又通用白話音（siang1），一般亦都用白話音。"
"單軌","dan2-gui4",
"請人客","ciann1-lang2-keh2","請客人吃飯。"
"北方","bak1-hng1",
"拍落地獄-(bhe/bhue)-超生","pah1-lorh3-de3-ghak1-bue3-ciau2-sing1","被打下地獄沒法投胎再轉世。"
"風微微","hong1-bhi2-bhi5","輕微的風，"
"微微仔笑","bhi2-bhi2-a1-cior4","輕輕的微笑。"
"微末不足道","bhi2-bhuat1-but1-ziok1-dor2",
"烘烘","hang2-hang1",
"讓渡","riong3-do2",
"讓座","riong3-zor2","等少數詞例跟白話音（(niunn2/nionn2)）通用以外，一般都讀白話音。"
"伊對小弟攏毋讓手","i2-dui4-sior1-di2-long1-m3-niunn3-ciu4","他對弟弟都不留情。"
"控臭頭庀","kang4-cau4-tau2-pi4","挖黏結的頭上疙瘩的分泌物，喻訓戒。"
"輪軸","lun2-dik1",
"找闌珊錢","zau3-lan2-san2-zinn5",
"找無人","cue3-bhor2-lang5","找不到人。"
"若無","na3-bhor5","不然。"
"否極泰來","pi1-gik1-tai4-lai5","。白話音為（pai4）。"
"否嘴","pai1-cui3","喻愛說粗野話。惟一般表示"
"不好、壞的","(pai4/painn4)","則多用"
"照紀綱來","ziau4-gi1-gang2","按步就班，照規矩進行。"
"頂擺","ding1-bai4",
"頂幾日","ding1-gui1-rit1",
"頂冬","ding1-dang1",
"頂過","ding1-(ge3/gue3)",
"頂頭","ding1-tau5",
"頂身","ding1-sin1",
"一頂轎","zit3-ding1-gior2",
"倒錢","dor1-zinn5",
"歹運","painn1-un2",
"滑倒","gut3-dor4",
"倒去","dor4-ki3","為倒下，傾倒。"
"倒頭生","dor4-tau2-(senn1/sinn1)","橫產（腳手比頭部先出母體），又說"
"顛倒頭…","den2-dor4-tau5",
"文房四寶","bhun2-bong5-su4-bor4","。又白話口語音（pang5）則僅作為量詞用，如"
"一房傢俬","zit3-pang5-ge2-si1","一套家具。一般最通用的讀音為（bang5）。"
"房地產","bang2-de3-san4","不動產。"
"行房","giann2-bang5",
"厝地","cu4-de2",
"厝主","cu4-zu4",
"厝間","cu4-ging1","人寢息居處的建築物。"
"書房","zu2-bang5",
"坐底","ce3-de4","沈下底邊，喻最後負責。"
"水紅","zui1-ang5",
"粉紅仔色","hun1-ang2-a1-sik2",
"略說","liok3-suat2",
"小可","sior1-kua4",
"攏無惜略","long1-bhor2-siorh1-liorh1","一點兒也不珍惜。"
"貨機","hue4-gi1",
"細膩","se4-li3",
"人客廳","lang2-keh1-tiann1",
"袁世凱","uan2-se4-kai4",
"冰互冷","bing2-ho3-ling4","冷藏使冷。"
"絕種","zeh3-zing4","，又音（zuat3-zing4），"
"死絕","si1-zeh1","絕交，一般通用文言音（zuat1）。"
"絕子絕孫","zuat3-zu1-zuat3-sun1",
"絕代佳人","zuat3-dai3-ga2-(rin5/lin5)",
"大股","dua3-go4",
"大箍","dua3-ko1","大塊頭。"
"一箍銀","zit3-ko2-(ghin5/ghun5)",
"強心劑","giong2-sim2-ze1",
"一點點仔","zit3-diam1-diam1-a4",
"綢仔絲","diu2-a1-si1",
"鐵絲網","tih1-si2-bhang2",
"蚕仔絲","cam2-a1-si1",
"上訴","siong3-so3",
"鹽王萊","sinn3-ong2-lai5","醬鳳梨，"
"鹽菜頭","sinn3-cai4-tau5","醬白蘿蔔。"
"平洋","(benn2/binn2)-iunn5","廣大平地，"
"田洋","can2-iunn5","一大片田地。又多與"
"番仔","huan2-a4","同義，如"
"西方","sai2-hng1",
"學歹","orh3-painn4",
"洋灰","iunn2-hue1","即水泥，又叫"
"紅毛土","ang2-mng2-to5",
"大粒蔥〔蔥〕頭","dua3-liap3-cang2-tau5",
"人生如苦海","rin2-sing1-ru2-ko1-hai4",
"下苦功","he3-ko1-gang1",
"歹命","painn1-mia2",
"心肝頭艱苦","sim2-guann2-tau5-gan2-ko4",
"雞仔目","ge2-a1-bhak1",
"下昏時","e3-hng2-si5","說快一點為（ing2-si5），又說"
"暝時","mi2-si5",
"暗時","am4-si5",
"半暝","buann4-mi5",
"暝班","mi2-ban1",
"夜行的","ia3-hing5-e0",
"三更半暝","sann2-genn2-buann4-mi5","三更半夜。"
"處治","cu4-di2",
"互人刑","ho3-lang2-hing5","受暴力刑訊。"
"搬栽","buann2-zai1",
"搬徙","buann2-sua4",
"逐暝","dak3-mi5",
"逐項代誌","dak3-hang3-dai3-zi3","每一樣事情。"
"逐日","dak3-rit1",
"腳靠著椅仔頂","ka1-kua4-di3-i1-a1-ding4","腳靠在椅子上。"
"母錢","bhu1-zinn5",
"土想","to1-siunn2",
"目躡久","bhak3-nih1-gu4",
"長工","dng2-gang1",
"行短路","giann2-de1-lo2","喻自殺。"
"夭壽","iau1-siu2",
"短歲壽","de1-hue4-siu2",
"三長兩短","sann2-dng5-lng3-de4","不測的危險。"
"皮皮仔","(pue2/pe2)-pe2-a4",
"皮影戲","pue2-iann1-hi3",
"到尾","gau4-bhe4",
"好死","hor1-si4",
"粒積","liap3-zik2","一點一滴地累積。"
"雲雨巫山","hun2-u4-bhu2-san1",
"啥樣","siann1-iunn2",
"啥款","siann1-kuan4",
"何落","dor1-lorh1",
"哪通","na1-tang1","怎麼可以。"
"何一寡","dor1-zit3-gua4",
"衛生衣","ue3-sing2-i1","防寒絨衣。"
"十停有九停","zap3-tiann5-u3-gau1-tiann5","，此外語例罕見，一般通文言音（ting5）。"
"歇睏","hiorh1-kun3",
"火性","hue1-sing3",
"沽情","go2-ziann5",
"天氣燒熱啦","tinn2-ki3-sior2-ruah1-la0","天氣暖和（熱）起來了，"
"卡燒熱咧","kah1-sior2-ruah1-le0","再暖和些。"
"燒金紙","sior2-gim2-zua4",
"水燒滾滾","zui4-sior2-gun1-gun4",
"今仔日卡燒烙","gin2-a1-rit1-kah1-sior2-lor2",
"燒茶","sior2-de5","熱茶，"
"燒湯","sior2-tng1","熱湯，"
"燒滾水","sior2-gun1-zui4","熱開水。"
"伊愛啉燒酒","i2-ai4-lim2-sior2-ziu4","他喜愛喝酒，"
"燒酒先","sior2-ziu1-sen1","很會喝的人，略稱"
"酒鬼","ziu1-gui4","或"
"酒鱉","ziu1-bih2",
"火燒厝","hue1-sior2-cu3","房屋火災。"
"若毋是","na3-m3-si2",
"偌濟","(rua3/ghua3/lua3)-(ze2/zue2)",
"若坐咧即講","na1-ze2-le0-ziah1-gong4","且坐下再說。"
"印台","in4-dai5",
"壁孔","biah1-kang1",
"針孔","ziam2-kang1","。另有口語音（kang4）語例罕見，文言音為（kong4）。"
"變鬼","binn4-gui4",
"烏白創","o2-beh3-cong3",
"猶未做人","iau1-bhue3-zor3-lang0",
"牽核","kan2-hat1","淋巴結腫大。"
"少校","siau4-gau3","，惟語例不多。"
"校車","ga4-cia1","機器的試運轉，語例少，一般通用文言音（gau3）。"
"二校","ri3-gau3",
"胃散","ui3-san4","等，一般多通用低降聲的〔san3〕。"
"散心","san4-sim1",
"掖豆仔","ia3-dau2-a4","撒豆。"
"發散悶氣","huat1-san3-bhun3-ki3",
"散散來","suann1-suann4-lai5","零零散散地來，一般以低降聲〔suann3〕的語例較多。"
"好唉","hor4-a0",
"來去乎","lai2-ki3-honn3","走吧。"
"洗浴","se1-ik1","，在水裏游動。"
"游先生","iu5-sen0-sin0",
"恆久","hing2-giu4",
"足久","ziok1-gu4",
"菜擔仔","cai4-dann1-a4",
"肉包","bhah1-bau1",
"菜脯米","cai4-bo1-bhi4",
"味素粉","bhi3-so4-hun4","是從豆麥提煉的一種白色結晶體的調味品。"
"無滋無味","bhor2-zu2-bhor2-bhi2","全沒味道。"
"做歹模樣","zor4-pai1-bho2-iunn2","做壞樣本。"
"貨殖","ho4-sit1","等語例很少，一般通用白話音（(hue3/he3)）。"
"貨物車","hue4-bhut3-cia1","，卡車。"
"貨物仔車","hue4-bhut2-a1-cia1",
"貨草","hue4-cau4",
"創啥貨","cong4-siann1-hue3","幹什麼，"
"看啥貨","kuann4-siann1-hue3",
"想啥貨","(siunn3/sionn3)-siann1-hue3",
"損害名譽","sun1-hai3-bhing2-u2",
"損害身體","sun1-hai3-sin2-te4",
"損精神","sng1-zing2-sin5",
"山豬來損斷蕃薯園","suann2-di1-lai2-sng1-dng3-han2-(zi2/zu2)-hng5","山豬來蹧蹋（破壞）了地瓜園。"
"預防射","i3-hong2-sia2","預防疫病的針劑。"
"預卜","i3-bok2",
"預偌久啦","i2-rua3-gu4-la0","進行（開始）多久了？"
"毛絲仔","mng2-si2-a4",
"幼毛","iu4-mng5",
"苦毛仔","ko1-mng2-a4",
"普略仔","po1-liok2-a4",
"包穩輸的","bau2-un1-su1-e0","肯定會輸。"
"-lin-〔您〕祖媽","lin1-zo1-ma4","罵語，你老祖宗。"
"天后宮","ten2-hior3-giong1","戰後因華語進入台灣，"
"栽樹","zai2-ciu2",
"搬栽","buann2-zai1",
"吐氣","to1-kui3",
"無出息","bhor2-cut1-sik2","不長進。"
"子兒","giann1-ri5",
"前擴","zing2-kok2",
"後擴","au3-kok2",
"龍仔銀","ling2-a1-ghin5",
"錢櫃仔","zinn2-gui2-a4",
"金仔店","gim2-a1-diam3",
"錢袋仔","zinn2-de2-a4",
"酒矸仔嫂","ziu1-gan2-a1-sor4","指酒家女。"
"歹酒癖","painn1-ziu1-piah2","酒醉後的脾氣不好。"
"酒先","ziu1-sen1",
"興酒","hing4-ziu4",
"食燒酒","ziah3-sior2-ziu4",
"當等","dng2-dan4",
"守護神","siu1-ho3-sin5",
"提〔〕落來","teh1-lorh0-lai0","拿下來，"
"掠着","liah1-diorh0","拿住，捉到。"
"掠龍","liah3-ling5",
"紙票","zua1-pior3",
"金紙","gim2-zua4","或"
"銀紙","(ghin2/ghun2)-zua4",
"先生","sen2-sinn1",
"樹奶鞋","ciu3-ling2-e5","橡膠鞋。"
"雨衫","ho3-sann1","或"
"雨幔","ho3-mua1",
"雨屑仔","ho3-sap1-a4",
"落雨滴","lorh3-ho3-dih2","下着稀落的雨。"
"雨來天","ho3-lai2-tinn1",
"唱曲","ciunn4-kik2",
"曲盤","kik1-buann5",
"許願","hi1-ghuan2","許願。"
"掠着","liah1-diorh0",
"收穫","siu2-hik1",
"茶心","de2-sim1",
"茶葉","de2-hiorh1",
"茶瓶","de2-ban5",
"茶水","de2-zui4",
"〔囡〕仔","ghin1-a4",
"吐腸頭","to1-dng2-tau5",
"黜輪","tut1-lun5","骨關節受外力推撞而脫離。"
"-lang--liau-","lang4-liau5",
"脫走","tuat1-zau4",
"溜走","liu2-zau4",
"脫脂牛奶粉","tuat1-zi1-ghu2-ling2-hun4",
"雪文","suat1-bhun5","或"
"茶箍","de2-ko1",
"白肉","beh3-bhah2",
"好缺","hor1-(kueh2/keh2)",
"胖皮","pong4-pue5",
"大箍的","dua3-ko1-e0",
"多愁善感","dor2-ciu5-sen3-gam4",
"龍捲風","liong2-gng1-hong1",
"龍山寺","liong2-san2-si2","在台北萬華，"
"龍首","ling2-siu4",
"蕃薯龍","(huan2/han2)-zu2-ling5","地瓜內成列的埂子。"
"搬戲","buann2-hi3",
"老父","lau3-be2","惟（be2）另有字為"
"爸母","be3-(bhor4/bhu4)","父親和母親。"
"爸子","be3-giann4",
"阿爸","a2-ba5",
"老爸","lau3-be2",
"阿叔","a2-zik2",
"阿伯","a2-beh2",
"阿公","a2-gong1",
"漸染","ziam2-liam4",
"東漸於海","dong2-ziam2-u2-hai4","，華語讀（jian4）時，意為"
"勻勻仔","un2-un2-a4",
"血淋淋","het2-lim2-lim5",
"流血流滴","lau2-hueh1-lau2-dih2",
"血管","huih1-gng5",
"吐血","to4-huih2",
"嘔血","au1-huih2",
"歡喜","huann2-hi4","以外罕見，一般通用文言音（huan1）。"
"攏頭","lang1-tau5",
"頭家","tau2-ge1",
"噗仔聲","pok1-a1-siann1",
"布袋戲","bo4-de3-hi3",
"西瓜食着沙沙","si2-gue1-ziah3-diorh1-sua2-sua1","西瓜吃起來像沙的樣子（好吃）。"
"土直","to1-dit1",
"謂詞","ui3-su5","陳述主語（詞）的情況如何的句子成分。"
"討海人","tor1-hai1-lang5","漁夫。"
"扶挺","po2-tann4",
"出價","cut1-ge3",
"下輩","e3-bue3",
"暗飯","am4-bng2","；晚餐，或說"
"暗頓","am4-dng3",
"晏食","uann4-ziah1","；吃得晚，"
"晏睏","uann4-kun3","睡得遲（晚），"
"晏來","uann4-lai5","；來得晚，又說"
"慢來","bhan3-lai5",
"慢婚","bhan3-hun1","晚婚，是"
"粒粒皆辛苦","lip3-lip1-gai2-sin2-ko4","語例不多。"
"亂操操","luan3-cau2-cau1",
"亂使講","luan3-su1-gong4","亂講。"
"-tai-人","tai2-lang5",
"屠殺","do1-sat2",
"-tai-豬","tai2-di1","宰豬。"
"處方","cu4-hng1",
"藥單","iorh3-duann1",
"給燒仔","gip1-sior2-a4",
"藥頭","iorh3-tau5","熬第二次叫"
"藥渣","iorh3-ze1",
"藥頭仔","iorh3-tau2-a4",
"番仔油","huan2-a1-iu5",
"塗〔土〕炭屎","to2-tuann4-sai4",
"讀冊","tak3-ceh2",
"食頭路","ziah3-tau2-lo2",
"阿姆","a2-m4",
"芳瓜","pang2-gue1",
"芳料","pang2-liau2",
"芎蕉","ging2-zior1",
"芳雪文","pang2-suat1-bhun5",
"香案桌","hiunn2-uann4-dorh2",
"一枝香","zit3-gi2-hiunn1",
"一欉香","zit3-zang2-hiunn1",
"毋免介意","m3-bhen1-gai4-i3","不必介意。又說"
"沒路用","bhor5-lo3-iong2","沒用處。"
"沒路","bhor5-lo2","沒法子。"
"掛意","gua4-i3",
"迫偎","bik1-ua4",
"豐沛","pang2-pai3","充足喻有威勢、了不起，但語例殊少、一般通用文言音（hong1）。"
"握拳","ok1-gun5","一般通用文言音（ak2），亦有訛音為（at2），-"
"握手","(ak1/at1)-ciu4",
"蘭花","lan2-hue1",
"蝴蝶蘭","o2-diap3-lan5",
"路邊擔仔","lo3-binn2-dann1-a4","擺在路側的攤販，"
"菜擔仔","cai4-dann1-a4","蔬菜攤販。"
"管弦樂","guan1-hen2-ghak1",
"用索仔且弦咧","(ing3/iong3)-sorh1-a4-ciann1-han5-le0","暫時用繩子捆一下。"
"卵仁","lng3-(rin5/ghin5/lin5)",
"雞卵糕","ge2-lng3-gor1",
"沈落去","diam5-loh0-ki0","；即沈下去，一般通用文言音。"
"在在","zai3-zai2",
"目捎是","bhak3-sa2-si2",
"蟟鯉","la2-li4",
"衫穿","sann1-cing3",
"固執","go4-zip2","之意。"
"收執","siu2-zip2",
"啥人","siann1-lang5",
"中聽","ding4-tiann1",
"逆差","ghik3-ca1",
"煙花女","en2-hua2-(lu4/li4)",
"熏斗","hun2-dau4",
"熏草","hun2-cau4",
"勼水","giu2-zui4","。頭、腳、手收縮叫（giu1），如"
"勼腳勼手","giu2-ka2-giu2-ciu4",
"勼倒轉去","giu2-dor4-dng5-ki3","縮回去。"
"意愛","i4-ai3",
"蕃薯鬆化化","huan2-zu5-sang2-hua4-hua3","地瓜的質地鬆散。"
"松樹","cing2-ciu2",
"松仁","cing2-(rin5/lin5)","等語例不多，一般通用的是文言音（siong5）。"
"椪鼠","pong4-ci4",
"無腳賬","bhor2-ka2-siau3","人手不夠。"
"鐵馬","tih1-bhe4",
"腳脊骿","ka2-ziah1-piann1",
"好腳手","hor1-ka2-ciu4","動作敏捷，"
"無腳手","bhor2-ka2-ciu4","沒人手。"
"尻川孔","ka2-cng2-au3-ue2","背地裡說是非。"
"二腳籃仔","lng3-ka2-na2-a4","兩個籃子。"
"踡腳破相","kue2-ka2-pua4-(siunn3/sionn3)","跛腳殘障。"
"免錢","bhen1-zinn5",
"背影","bue4-iann4",
"背心","bue4-sim1",
"-gah-仔","gah1-a4","等，一般通用〔bue2〕。"
"倒面","dor4-bhin2",
"生背","sinn2-be3","背瘡，一般通用（be2）。"
"吊帶","diau4-dua3",
"長尾星","dng2-bhue1-cinn1",
"長福","dng2-bak2","。一般用文言音（hok2）"
"着病","diorh3-benn2",
"深井","cim2-(zenn4/zinn4)","中庭、裡院。"
"勻仔是","un2-a1-si2",
"早慢","za1-bhan2",
"慢即","bhan3-ziah2",
"慢者","bhan3-zia4",
"頇顢","ham2-bhan2",
"驚代誌","giann2-dai3-zi3",
"着驚","diorh3-giann1",
"膽膽","dam1-dam4",
"恐驚","kiong1-giann1",
"下暗恐驚會落雨","e3-am3-kiong1-giann2-e3-lorh3-ho2","今晚恐怕會下雨。"
"懼掣","gu3-cuah2",
"祖墳","zo1-hun5",
"父公業","be3-gong2-ghiap1","或"
"祖公業","zo1-gong2-ghiap1",
"媽孫","ma1-sun1","祖母和孫子。"
"祖公","zo1-gong1",
"皇帝娘","hong2-de4-(niu5/nio5)",
"索仔促卡短咧","sorh1-a4-cik1-ho3-kah1-de4-le0","把繩子縮短一點。"
"翻二點","huan2-lng3-diam4","過了二點。"
"濺水","zuann3-zui4","，一般的讀音為（zian2）"
"衫褲","sann2-ko3",
"孔嘴","kang2-cui3",
"日卜暗","rit1-bhueh1-am3",
"望穿秋水","bhong3-cuan1-ciu2-sui4","形容盼望非常急切。"
"景色宜人","ging1-sik2-ghi2-rin5",
"客套話","keh1-tor4-ue2",
"手囊","ciu1-long5",
"字劃","ri3-ueh2",
"振動","din1-dang2","，文言音（zin1-dong2）。"
"窮途末路","giong2-do5-bhuat3-lo2",
"尾溜","(bhue1/bhe1)-liu1",
"編織毛衣","ben2-zit2-mo2-i2",
"牛奶餅","ghu2-ling2-biann4","圓型小餅乾。"
"種珠","zing4-zu1","種牛痘。"
"着電","diorh3-den2","。動物的軀體和電流相接觸輕微的感受到震擊，嚴重的會失去知覺而死。"
"-dan-雷","dan2-lui5","雷聲。"
"座位","ze3-ui2",
"徛起","kia3-ki4",
"舊居","gu3-gi1",
"搬厝","buann2-cu3",
"抓緊","zua2-gin4","，語殊少。"
"胎衣","tai2-i1",
"呼喝","ho2-huah2",
"呼雞","ko2-ge1","呼叫雞，"
"呼狗","ko2-gau4","呼叫狗。"
"會呼雞-(bhe/bhue)-噴火","e3-ko2-ge1-bhue3-bun2-hue4","喻有氣無力。"
"聲威遠播","siann2-ui1-uan1-bo3",
"綠化","liok3-hua3",
"綠蔭","liok3-im3","，碧綠的樹蔭。可用白話音（lik1）取代，一般多用白話音。"
"豆菜","dau3-cai3",
"水晶","zui1-zinn1","，一般多通用文言音（zing1）。"
"愛情的結晶","ai4-zing5-e2-get1-zing1",
"噴雞-gui-","bun2-ge2-gu1-i1","吹牛皮。"
"雞庵","ge2-am1",
"雞罩","ge2-da3",
"澶〔湠〕開","tuann4-kui1",
"延延","en2-cen5","遷延。"
"延時間","cen2-si2-gan1","拖長時間。"
"-ghau-延","ghau2-cen5","很會拖時間。"
"膠葛","gau2-gat2","糾纏不清，多用白話音（ga1）"
"堅巴","gen2-ba1",
"橡奶","ciunn3-ni1",
"厝架","cu4-ge3",
"簾檐","ni2-zinn5",
"厝檐","cu4-zinn5",
"厝間","cu4-ging1",
"臨時","liam2-si5","，亦讀（lim2-si5）。一般讀文言音（lim5）。"
"蒞臨","li3-lim5",
"來臨","lai2-lim5","，來到的敬詞。"
"人客","lang2-keh2",
"帶念","dua4-liam2",
"顧家","go4-ge1","守護家庭。"
"掉來掉去","dior3-lai5-dior3-ki3","搖來搖去。"
"燈猜","ding2-cai1",
"臭油","cau4-iu5","指媒油。"
"點燈","diam1-ding1",
"燈座","ding2-zor2",
"電燈","den3-ding1",
"年尾","ni2-(bhue4/bhe4)",
"年頭","ni2-tau5",
"時序","si2-su5",
"有擋頭","u3-dong4-tau5",
"惡劇劇","ok1-kiak3-kiak1","很兇。通用文言音（gik1）。"
"戲園","hi4-hng5",
"玉蜀黍","ghiok3-siok3-su2",
"瓦全","ua4-zuan5",
"大兄","dua3-hiann1",
"老大哥","lau1-dua3-gor1",
"季節風","gui4-zet1-hong1","或季候風（gui4-hau3-hong1）。"
"時季","si2-gui3",
"旱季","han3-gui3",
"淡季","dam3-gui3",
"工課","(gang2/kang2)-kue3","工作，一般多通用文言音kor3"
"課餘","kor4-(i5/u5)",
"凱歌","kai1-gor1","；打勝仗唱的歌，"
"凱旋","kai1-suan5","戰勝回來。"
"亂使講","luan3-su1-gong4",
"烏白講","o2-beh3-gong4",
"亂使想","luan3-su1-(siunn2/sionn2)",
"弦仔","hen2-a4","；用竹弓張馬尾，夾在兩弦之中，拉弓發聲，是平劇的重要樂器。"
"額手稱慶","ghik3-siu4-cing2-king3","以手加額表示慶幸。白話音（ghiah1）～（hiah1）。"
"在額","zai3-ghiah1",
"好額人","hor1-ghiah3-lang5","有錢人。"
"牌匾","bai2-ben4",
"錢項","zinn2-hang2",
"卷雲","guan1-hun5","，一般通用白話音（gng5）。"
"１卷軟片","zit3-kun2-lng1-pinn3",
"人永會做毋着","lang5-ing1-e3-zor4-m3-diorh1","人終會做錯的。"
"永擺","ing1-bai4",
"永別","ing1-bet1",
"永遠","ing1-uan4",
"菜栽","cai4-zai1",
"樹栽","ciu3-zai1",
"尻川","ka2-cng1","屁股。另有寫作"
"烘爐","hang2-lo5",
"炭屎","tuann4-sai4",
"岩石","gham2-sik1",
"山岩","san2-gham5","，多用白話音（ghiam5）。"
"軟弱","nng1-riok1","柔軟，一般通用文言音（(riok1/ghiok1/liok1)）。"
"上人範","ziunn3-lang2-ban2",
"荏身命","lam1-sin2-mia2",
"散散","suann4-suann3",
"浪溜連","long3-liu4-len1",
"滸梅","ho1-m5",
"行氣","giann2-ki3","，事情進行收到效果。"
"沿路行沿路哮〔吼〕","en2-lo3-giann5-en2-lo3-hau4","邊走邊哭。"
"野營","ia1-iann5",
"旗桿","gi2-guann1",
"桿菌","gan1-kun4","桿狀的細菌。白話音讀（guainn4）"
"秤桿","cin4-guainn4","秤的橫桿。"
"笑科","cior4-(kue1/ke1)",
"金滑","gim2-gut1","，物體表面平滑。"
"鎮位","din4-ui2",
"飯桶","bng3-tang4","喻無用的人，"
"飯斗","bng3-dau4",
"懷帶","gui2-(dai3/dua3)","，文言音（huai5）。"
"數念","siau4-liam2",
"有身","u3-sin1",
"趕出去","gan1-cut1-ki3","，但一般通用白話音（guann4），按（gan4）比（guann4）語氣粗劣。"
"氣奪奪","ki4-duah3-duah1","怒氣沖沖。一般則多用文言音（duat1）。"
"顯目","hiann1-bhak1",
"汝有愛伊無","li1-u3-ai4-i2-bhor5","？你愛他（她）嗎？"
"這是伊的","ze2-si3-i2-e5","這是他（她）的。"
"食互伊飽","ziah3-ho3-i2-ba4","吃個飽飽。"
"親像","cin1-ciunn2","一詞。"
"換途","uann3-do5",
"共行","gang3-hang5",
"參賽","sann2-se3","互相比賽，多通用文言音（sai3）。"
"競馬","ging4-bhe4",
"拍落公","pah1-lorh3-gong1",
"演繹","en1-ik1","，由具體事實推求普通原理的推理方法。"
"做客","zor4-keh2",
"掖種","ia3-zing4",
"放種","bang4-zing4","撒佈種子。"
"盤旋","buan2-suan5","，亦讀（buann5）。白話音中的（puann5）亦殊少語例，故實際通用讀音兩種。"
"變弄","binn4-lang2",
"盤山過嶺","buann2-suann1-(gue4/ge4)-nia4",
"康寧","kang2-ling5",
"細菌","(se4/sue4)-kun4","。華語讀（jyun4）時台語讀（gun2）即菇、蕈。"
"借故","zik1-go3",
"借口","zia4-kau4","又音（ziorh1-kau4），多使用白話音（ziorh2）。"
"糖分","tong2-hun1",
"白糖","beh3-tong5","，一般多用白話音（tng5）。"
"橫逆","hing2-ghik1","橫暴的行為。一般通用的詞例多讀白話音（(huainn5/huinn5)）。"
"拗蠻","au1-bhan5",
"私〔家、奇〕錢","sai2-kia2-zinn5","，私房錢，"
"偷生的","tau2-(sinn1/senn1)-e0",
"銃決","cing4-guat2",
"銃殺","cing4-sat2",
"機關銃","gi1-guan2-cing3","能迅速連續發射子彈的武器。"
"步銃","bo3-cing3","步兵所用的槍。"
"熟似人","sik3-sai3-lang5",
"煮熟啦","zu1-sik1-la0",
"昆虫","kun2-tiong5","。一般較通用白話音（tang5）。"
"着虫","diorh3-tang5","農作物受害蟲損害。"
"樟腦","(ziunn2/zionn2)-lo4","，一般通白話音（nau4）。"
"腦沖血","nau1-ciong2-het2",
"斷腦筋","dng3-nau1-(gin1/gun1)",
"頭殼內","tau2-kak1-lai2",
"二氧化碳","ri3-iong5-hua4-tan3",
"碳酸鈉","tan4-suan2-lap1","等。"
"土炭","to2-tuann3",
"火炭","(hue1/he1)-tuann3","，木柴燃燒中製成。"
"石炭","ziorh3-tuann3","即煤炭。"
"一四界","zit3-si4-(ge3/gue3)","到處。"
"敢愛去","gam1-ai4-ki3","有必要去嗎？亦說"
"敢着愛","gam1-diorh3-ai3",
"規暝","gui2-(me5/mi5)",
"透暝","tau4-mi5",
"傾斜","king2-sia5",
"斜目","cia2-bhak1",
"脫窗了","tuah1-tang1",
"趨坡","cu2-por1",
"薄利","bo2-li4",
"薄荷","bo4-he1","和"
"薄脆","bo2-cui4","，台語的讀音僅分文白兩種。"
"紅顏薄命","hong2-ghan5-bok3-bhing2","美人命運不好，"
"水〔美〕人歹命","sui1-lang5-painn1-mia2",
"空氣稀薄","kong2-ki3-hi2-borh1",
"秋清","ciu2-cin3",
"繳稅","giau1-sue3",
"爆彈","bok3-duann5",
"彈空","duann2-kang1",
"飼養","su3-iong4","一般通用白話音（ci2）。"
"伸張正義","sin2-diong2-zing4-ghi2",
"拍折","pah1-zet2",
"凌遲","ling2-di5",
"對拗","dui4-au4",
"麥門冬","bhik3-bhun2-dong1","有鎮咳袪痰作用的藥材，又叫"
"麥角","bheh3-gak2","燕麥製成，是快煮的食品。"
"澹漉漉","dam2-lok1-lok2",
"蓮花","len2-hue1",
"錢包仔","zinn2-bau2-a4",
"感荷","gam1-or2","感戴，非常感謝。"
"瓦仔","hia3-(bue1/be1)-a4",
"紅瓦厝","ang2-hia3-cu3",
